Id,Content,Sentiment
4.31E+17,she s all alone again  wipping the tears from her eyes  someday she feels like dying  she gets so sick of crying ,Negative
4.31E+17,or wake at night alone i am to wait i do not doubt i am to meet you again i am to see to it that i do not lose you   waltwhitman,Negative
4.31E+17,feel so alone   ,Negative
4.31E+17,i just need to leave her alone before i scare her away,Negative
4.31E+17,well i tried to live without you  and tears fall from my eyes  i m alone and i feel empty  god i m torn apart inside ,Negative
4.31E+17,he looks so dejected and sad         URL,Negative
4.31E+17,rt AT_USER i walk this empty street along the boulevard of broken dreams ,Negative
4.31E+17,i m such an outcast in my family ,Negative
4.31E+17,what a day      isolated status ,Negative
4.31E+17,annoyed and upset       ,Negative
4.31E+17,i am unbearably alone,Negative
4.31E+17,this movie got me all kids of depressed and disoriented like which way is up and down ,Negative
4.31E+17,with the fearful strain that is on me night and day  if i did not laugh i should die    lolx,Negative
4.31E+17,i m hella anxious ,Negative
4.31E+17,AT_USER music reduces anxiety  and also helps your mind and body get through stressful times ,Positive
4.31E+17,the anxiety is killing me ,Negative
4.31E+17,rt AT_USER planning is easy  delivery is hard ,Positive
4.31E+17,refusal  anger  negotiation  depression  acceptance,Negative
4.31E+17,AT_USER thanks man  the anxiety might kill me ,Negative
4.31E+17,fear is what stops you    courage is what keeps you going ,Positive
4.31E+17,depression is killing me ,Negative
4.31E+17,depressed,Negative
4.31E+17,rt AT_USER demi was depressed   everyone said stay strong  selena goes to rehab   everyone says stay strong  justins depressed and ever,Negative
4.31E+17,rt AT_USER telling someone who s depressed to  just get over it  is like telling a blind person to  just look harder ,Negative
9.20E+17,rt AT_USER loneliness is all i ve been feeling lately and it hurts,Negative
9.20E+17,i felt happy seeing an arsenal fan and a chelsea fan talking 2 or 1 another about their chances of winning d league title,Positive
573465860,rt AT_USER people who enjoy helping others and or spending money on others tend to be less stressed and happier ,Positive
3469282094,love is when your parents eat the old rice so you can enjoy the fresh batch ,Positive
2377192200,AT_USER enjoy,Positive
2910649192,rt AT_USER enjoy the spice of life  try hotpot  the shining star of sichuan cuisine,Positive
2638241781,rt AT_USER stop stressing about school and just enjoy life  live in the moment ,Positive
1118745194,rt AT_USER enjoy life  remember to be grateful for the little things  be kind to the people around you and follow your heart ,Positive
928009003,rt AT_USER ask yourself what is really important and then have the courage to build your life around your answer ,Positive
371250845,the most important thing in life is to decide what s most important,Positive
9.10E+17,rt AT_USER staying active is one of the most important ingredients of a healthy life,Positive
8.26E+17,rt AT_USER your positive action combined with positive thinking results in success ,Positive
1410767233,positive thinking  find happiness and achieve your goals through the power of positive thought free ebook,Positive
9.20E+17,rt AT_USER this makes my heart full of joy  god is faithful  congrats AT_USER   AT_USER URL,Positive
9.20E+17,rt AT_USER holy mother of god  i m full of joy  thank you AT_USER,Positive
9.20E+17,rt AT_USER this makes my heart full of joy  god is faithful  congrats AT_USER   AT_USER URL,Positive
9.20E+17,AT_USER happy birthday i wish happy you a life full of happiness and joy,Positive
9.20E+17,rt AT_USER AT_USER happy birthday you talented gal     hope it s full of joy   ,Positive
9.20E+17,today s  themindfulbreak spread looks lovely   a sight to breathe in full of joy  peace and love  blogginglif URL,Positive
9.20E+17,AT_USER happy birthday you talented gal     hope it s full of joy,Positive
9.20E+17,rt AT_USER AT_USER always thanks sooo much my dearest marie  a time full of love and joy for you  sleep well,Positive
9.20E+17,it s true when they say if you start thinking positive  you ll be happier,Positive
9.20E+17,believe in positive thinking  life is a beautiful thing  be your own motivation ,Positive
9.20E+17,ways of positive thinking URL URL,Positive
9.16E+17,knowing they were doing something to resist umbridge and the ministry gave harry a feeling of immense satisfaction,Positive
9.20E+17,rt AT_USER even if you ain t got no paper bring your motivation to the table ,Positive
9.20E+17,rt AT_USER one year after  retirement  AT_USER hope you are enjoying the busy  pensioner  life  URL,Positive
9.20E+17,life isn t about having things to enjoy life  it s about enjoying life with the things you have ,Positive
9.20E+17,rt AT_USER real life enjoying the lil things that matters the most,Positive
9.20E+17,rt AT_USER baha is all over the world are celebrating the bicentenary of the birth of baha u llah ,Positive
9.20E+17,rt AT_USER nice gesture by  suriya fans to create a common dp for celebrating  anirudh s birthday   hbdanirudhbysuriyafans  tsk  sodakk,Positive
9.20E+17,as colleen  amp  i begin 35 years of marriage today  i still love my wife  amp  best friend  great celebrating with AT_USER  amp  AT_USER,Positive
9.20E+17,rt AT_USER hockey etiquette 101  when celebrating a goal  make sure you don t miss anyone  URL,Positive
9.20E+17,loved celebrating our sweet rachel this weekend   stuckonstalvey URL,Positive
9.20E+17,rt AT_USER celebrating another sundevil big win with my boyz AT_USER AT_USER  playmakerz,Positive
9.20E+17,AT_USER AT_USER AT_USER AT_USER sure just get that homework done while celebrating that poin URL,Positive
9.20E+17,AT_USER AT_USER world has got the right path celebrating d  matri pitri pujan diwas  started by  bapuji ,Positive
9.20E+17,rt AT_USER it s okay to be proud of your progress even if you re not exactly where you want to be  you re getting there,Positive
9.20E+17,rt AT_USER i know you think you re sad that the cowboys don t play today  but any day your team can t lose is an occasion worth celebrate,Positive
9.20E+17,rt AT_USER AT_USER world got the right path celebrating  matri pitri pujan diwas  started by  bapuji   serviceforhumanity,Positive
9.20E+17,rt AT_USER congratulations again to AT_USER for taking the asia regional finals title  thanks to AT_USER for giving out,Positive
9.20E+17,rt AT_USER 2 wins in 2 weeks   congratulations AT_USER   machine,Positive
9.20E+17,rt AT_USER AT_USER girl i wanna look this good when i m pregnant lol  congratulations beautiful  i hope it s a girl so she can be like u,Positive
9.20E+17,rt AT_USER 2 wins in 2 weeks   congratulations AT_USER   machine,Positive
9.20E+17,rt AT_USER congratulations to gorb for graduating middle school  we all hope you strive for greatness like you do on cod4,Positive
9.20E+17,rt AT_USER congratulations india on beating pakistan 3 1 in  asiacup2017  indvpak   thank you for the advance diwali gift AT_USER,Positive
9.20E+17,congratulations  jim  i m a great editor  not a great media artist ,Positive
9.20E+17,congratulations  john  i m a creepy actor  not a sweet actor,Positive
9.18E+17,AT_USER no one should ever be driven to the point of suicide    especially not by those you have done nothing but cared for  ,Positive
9.20E+17,rt AT_USER had a feeling it was going to be a great day got to meet john stockton before the game,Positive
9.20E+17,what a great feeling and never gave up well done AT_USER AT_USER kept a cool head all weekend   age is nothing URL,Positive
9.20E+17,i woke up feeling great ,Positive
9.20E+17,AT_USER keep it up  you do good work ,Positive
9.20E+17,paxton fans keep up the good work   this young lady is really talented,Positive
9.20E+17,work two jobs  in school  gotta car  my own apartment  a boo   life s going good for me right now and i m only 19,Positive
9.20E+17,bad habits are more difficult to identify in your work life   careerinspiration  careergrowth  habits,Positive
9.20E+17,happy birthday big guy keep up the good work AT_USER,Positive
9.20E+17,rt AT_USER anyways arohas lets work hard to show our love and support for astro in this comeback as they provide us with another good,Positive
9.20E+17,i have amazing people in my life that encourage nothing except the positive  thank you lord for blessing me ,Positive
9.20E+17,AT_USER it s a great time in life  we can help you design an amazing wedding ,Positive
9.20E+17,rt AT_USER choose a job you love and you will never have to work a day in your life  happy future our amazing students,Positive
9.20E+17, success consists of going from failure to failure without loss of enthusiasm  winston churchill  quote  persistence,Positive
9.20E+17,rt AT_USER i love to see palestinians dancing and having fun  good  amp positive stories deserve to go viral as well ,Positive
9.20E+17,rt AT_USER it s all fun  amp  games until you re throwing up hotcheetos URL,Positive
9.20E+17,rt AT_USER AT_USER AT_USER what a fun day   URL,Positive
9.20E+17,AT_USER AT_USER AT_USER take it all back was so fun URL,Positive
9.20E+17,AT_USER i am loving you a n d line at the moment  and my bank balance is liking it too  great style made affordable  style  shopping,Positive
9.20E+17,rt AT_USER i am such a loving and caring person,Positive
9.20E+17,sbux is exclusively playing rostam and beck i am loving it,Positive
9.20E+17,AT_USER i have liked ryder for quite awhile  amp  it was good to see him perform on a televised fight  i am loving it,Positive
9.20E+17,i am loving what i just read about  vr  love it ,Positive
9.20E+17,rt AT_USER daughter was delighted to see this assistant referee today  her hair is like mine  can i be a referee   ,Positive
9.20E+17,rt AT_USER wasn t the performance we wanted but delighted with a point we re still unbeaten  amp  got the best gk in the world,Positive
9.20E+17,rt AT_USER cheers for more wonderful years with highlight happy 8th anniversary  guys  AT_USER  celebrate_highlight,Positive
9.20E+17,rt AT_USER your hardest times often lead to the greatest moments of your life  keep the faith  it will all be worth in the end ,Positive
9.20E+17,AT_USER just woken up  very pleased he won  was it a good match ,Positive
9.20E+17,AT_USER sounds pretty fine to me and very pleased to hear that creepy is your cup of tea  too ,Positive
9.20E+17,rt AT_USER i m pleased to announce that i will be releasing a limited amount of my  why u mad   merch this friday   whyumad,Positive
9.20E+17,rt AT_USER the indian roller  a bird considered auspicious in india   incredibleindia  tigrissafaris  photooftheday  wildlifephoto,Positive
9.20E+17,rt AT_USER remembering the legendary former  presidentofindia sh  apjabdulkalam on his auspicious birthday,Positive
9.20E+17,rt AT_USER what a dominating performance  AT_USER let the celebrations begin best wishes for the games ahead,Positive
9.20E+17,rt AT_USER delighted to join the centenary celebrations of patna university  sharing my speech during the programme today ,Positive
9.20E+17,focus on opportunities more than you focus on money ,Positive
9.20E+17,rt AT_USER if you find someone that makes you happy  enjoy it    life is not fair nor give many opportunities    URL,Positive
9.20E+17,rt AT_USER just keep going forward  no matter what  motivation  success  life,Positive
9.20E+17,jealousy is important for a person to move ahead in life  it keeps you on your toes and helps you realize,Positive
9.19E+17,i be asking god why do i keep loosing people in my life but i see why everyday you can t move ahead in life,Negative
9.19E+17,rt AT_USER sometimes in life  amp  love situations in order to move ahead we just have to give ourselves over to being vulnerable  amp,Positive
9.19E+17,rt AT_USER i swear to move forward or get ahead in life,Positive
9.20E+17,done with the stress,Negative
9.20E+17,may you live every day of your life  jonathan swift,Positive
9.20E+17,appreciate and be grateful for every given moment and live your life with love   joy  enjoylife  enjoyfriends URL,Positive
9.20E+17,AT_USER AT_USER live your best life,Positive
9.20E+17,life s so short man i couldnt stress enough how important it is for you to live your love with peace and good energy ,Positive
9.20E+17, inspiringvanessa you were born to live your life and not someone else s,Positive
9.20E+17,rt AT_USER yeah well math made me want to fucking kill myself why don t yall pull that off from the curriculum URL,Negative
9.20E+17,when kashdoll said   yall hoes kill me always want the next bitch issue  bitch you want her life but dont know what she been through ,Negative
9.20E+17,rt AT_USER can someone kill me  i hate school,Negative
9.20E+17,rt AT_USER im a loser baby so why don t you kill me,Negative
9.20E+17,i know in the end i will be left again because myself is not important at all,Negative
9.20E+17,rt AT_USER be true to yourself and love anyone your heart desires   nationalcomingoutday URL,Positive
9.20E+17,rt AT_USER how u out here stressing  amp  helping people  when u aint straight yourself    u have to make sure ur good before u could,Positive
9.20E+17,learn to love yourself first  be happy alone  no one will love you or be happy with you if you can t even do it  them facts ,Positive
9.20E+17,rt AT_USER armys  after all of this  win or lose  reward youself you deserve it don t beat yourself up love yourself ,Positive
9.20E+17,rt AT_USER  love yourself ,Positive
9.20E+17,rt AT_USER  i think you ought to know i m feeling very depressed ,Negative
9.20E+17,AT_USER hello sir  today i felt very depressed coz my first mba accounts exam wasn t good ,Negative
9.20E+17,read allegiant by AT_USER   why  why  veronica  why   why did you kill her  i m very sad depressed to read that tris died ,Negative
9.20E+17,AT_USER fucku lol shoot me one now,Negative
9.20E+17,shoot me now ,Negative
9.20E+17,rt AT_USER kill me now,Negative
9.20E+17,been up since 3 and now i have work   please kill me,Negative
9.20E+17,i m begging you  pls kill me now,Negative
9.20E+17,kill me now,Negative
9.20E+17,jesus christ all i wanted was some support but now i can t even ask for that unless it s going to kill me ,Negative
9.20E+17,kill me now,Negative
9.20E+17,kill me now URL,Negative
9.20E+17,AT_USER AT_USER AT_USER i am so sorry,Negative
9.20E+17,rt AT_USER you gotta love yourself before you can properly love someone else ,Positive
9.20E+17,yourself  you can do anything if you want  you can be anything if you want  i love you  smile a lot and be happy for me too ,Positive
9.20E+17,always love yourself first before you can love anyone else  always put your self first bc in the end you will still have yourselves,Positive
9.20E+17,each day  each hour  each minute is just torture  i want it to end,Negative
9.20E+17,waking up every day wishing i hadn t,Negative
9.20E+17,i feel like the only way to no longer carry this pain is to die,Negative
9.20E+17,i am weird and slow  every social interaction is painfully awkward,Negative
9.20E+17,i want to finish my life,Negative
9.20E+17,no one understands me in this life  i m leaving,Negative
9.20E+17,love u,Positive
9.20E+17,you are my love,Positive
9.20E+17,my suicidal ideation is always there  in the back of my mind  i wouldn t say i m suicidal currently  but i take comfort in the fact that if it ever gets so bad i could do it  knowing myself  it s probably how i ll go one day  not anytime soon  but one day ,Negative
9.20E+17,i sometimes have the desire of driving a knife into my heart ,Negative
9.20E+17,after being free from ideation for 9 months  i ve been thinking about suicide again ,Negative
9.20E+17,i want to do a suspension,Negative
9.20E+17,i want to commit suicide but i don t want anyone to know about it,Negative
9.20E+17,i think about suicide,Negative
9.20E+17,i want to commit suicide  but i don t want it to be painful,Negative
9.20E+17,i love happy music,Positive
9.20E+17,i love happy people,Positive
9.20E+17,i love happy moments,Positive
9.20E+17,i wish my true love happy valentine s day,Positive
9.20E+17,i love happy faces,Positive
9.20E+17,i wish i could make everyone i love happy all the time,Positive
9.20E+17,i apologize,Negative
9.20E+17,i quit,Negative
9.20E+17,be happy always and enjoy ur life,Positive
9.20E+17,work for others you will be happy,Positive
9.20E+17,i love happy love songs,Positive
9.20E+17,i enjoy helping others,Positive
9.20E+17,i enjoy having friends in my life,Positive
9.20E+17,i really want to enjoy my life,Positive
9.20E+17,i am learning to enjoy life and not fear it,Positive
9.20E+17,i hate evey thing around me,Negative
9.20E+17,death is the cure for all diseases,Negative
9.20E+17,feeling hopeless n i just want 2 die not like it matters anyways  no 1 cares ,Negative
9.20E+17,because i feel as if i am not a good enough human at  times and deserve nothing less then to die and pay for it  truths,Negative
9.20E+17,i really am sick and tired of my life   i see no point in it  ,Negative
9.20E+17,i hate how disgusting this world is and i want to die ,Negative
9.20E+17,nothing in life brings me joy anymore and i can t see a future for myself  i just really want to die,Negative
9.20E+17,i just don t want to wake up tomorrow  this world isn t meant for me  really life or online ,Negative
9.20E+17,i just hate my self n i want to die ,Negative
9.20E+17,i just think it would be better if i ended it all ,Negative
9.20E+17,hate my life  ,Negative
9.20E+17,feeling hopeless and desperate  i have nothing to lose now  what is the best way to end my life ,Negative
9.20E+17,i wish i can die already  this life is horrible,Negative
9.20E+17,i really am sick and tired of my life,Negative
9.20E+17,i hate how disgusting this world is and i want to die ,Negative
9.20E+17,i love myself  i love everything about me ,Positive
9.20E+17,you need to love yourself,Positive
9.37E+17,rt AT_USER very depressed,Negative
9.37E+17,pastor plz pray for me as am very depressed,Negative
9.37E+17,suga and suran in one stage kill me kill me now,Negative
9.37E+17,i want to die,Negative
9.37E+17,i want to die ,Negative
9.37E+17,my stream died i want toAT_USER too,Negative
9.37E+17,i want to die,Negative
9.37E+17,plz kill me,Negative
9.37E+17,AT_USER love yourself  love myself  peace ,Positive
9.37E+17,i just have this sick feeling that you would be better off without me,Negative
9.37E+17,you would be happier and better off without me  i promise,Negative
9.36E+17,you guys would be better off without me anyways,Negative
9.35E+17,AT_USER i think you guys would be better off without me honestly ,Negative
9.37E+17,AT_USER congratulations our king  ,Positive
9.37E+17,stress  kill me now,Negative
9.37E+17,people kill me,Negative
9.37E+17,how embarrassing i wish i were dead,Negative
9.37E+17,my name is edd and i wish i were dead,Negative
9.37E+17,give respect take respect,Positive
9.37E+17,doing suicide now,Negative
9.37E+17,i love everyone we all are friends,Positive
9.33E+17,kill me now,Negative
9.36E+17,i am loving it dance is my passion,Positive
9.33E+17,endless pain in life end it,Negative
9.37E+17,lets ave a lot of fun,Positive
9.12E+17,nothing left in this world for me i want to die,Negative
9.37E+17,i am successful in life,Positive
9.37E+17,end my life,Negative
9.55E+17,b rt at_user stunning stela nstela is looking for a dog free forever home we re she can get all the love and affection url,Positive
9.55E+17,b rt at_user gentle reminder that stephen miller was voted in highschool most likely to be arrested for videotaping women peeing n nwhi ,Positive
9.55E+17,b feeding animals is the ultimate act of care and affection our farm s volunteer is showing her care and url,Positive
9.55E+17,b rt at_user you are a person to you with a heart of love and affection and in your presence you care about me url,Positive
9.55E+17,b rt at_user i m clingy yet distant and i don t wanna come off too strong but i need mad affection but i get annoyed easily too ,Positive
9.55E+17,b rt at_user when you ask a question it x99s a matter of great affection to listen to the answer ,Positive
9.55E+17,b rt at_user in need of love and affection ,Positive
9.55E+17,b thank you all for giving me support and affection every day you give me enough strength to go on thank you from the bottom of my heart ,Positive
9.55E+17,b rt at_user neglect by successive govts on quality public education has resulted in the rise of unregistered edu centers amp seminaries ,Positive
9.55E+17,b rt at_user so much stuffs happening under one gif n nchaeyoung stealing nayeon s shoe and tease her about it nmomo climbing towards to tzuy ,Positive
9.55E+17,b closer to normal maybe new akimitsu persona3 fanfiction beware it s so fluffy affection url,Positive
9.55E+17,b rt at_user when your little pot head princess gotta hit a blunt before everything fucking thing she do like damn can i just get tha ,Positive
9.55E+17,b rt at_user jimin is really the one who prepares everyone s bd cake with so much love and affection no wonder the members are whipped f ,Positive
9.55E+17,b rt at_user when your little pot head princess gotta hit a blunt before everything fucking thing she do like damn can i just get tha ,Positive
9.55E+17,b rt at_user i need reassurance i need attention i need affection ,Positive
9.55E+17,b people have odd ways of showing affection sometimes you don t have to like the way they express it but still they love you ,Positive
9.55E+17,b rt at_user we fear rejection want attention crave affection and dream of perfection ,Positive
9.55E+17,b rt at_user is this real i x99m about to raise some real ass hell if it is take care of your animals and love them n show them affectio ,Positive
9.55E+17,b my boyfriend knows when i m getting my period based on my level of affection turns out i provide more hugs and kisses when pmsing ,Positive
9.55E+17,b for many cat owners treats are the perfect way to give pets some affection but not just any tidbit will do retai url,Positive
9.55E+17,b rt at_user it hurts to see students nowdays being pressured by everything i hope in future you all will cut some slack for your childr ,Positive
9.55E+17,b rt at_user i miss receiving constant affection sometimes lol ,Positive
9.55E+17,b rt at_user you don t know what love is you think you do but nobody really does you re just tricked into brainwash affection ,Positive
9.55E+17,b rt at_user jimin kisses yoongi s neck nyoongi what is this njimin affection nyoongi disgusting nyoongi nyoongi do it again ,Positive
9.55E+17,b im not asking for something grand just a little bit more affection amp love amp constant reassurance is that too much to ask ,Positive
9.55E+17,b rt at_user when you want affection but you re too embarrassed to ask for it url,Positive
9.55E+17,b rt at_user if my man isn x99t showing me affection like this ion want him url,Positive
9.55E+17,b i love praise and affection just saying ,Positive
9.55E+17,b at_user there is a temptation of misanthropy on the left to deny natural impulses of attachment affection rom url,Positive
9.55E+17,b rt at_user talking about love is so hard almost always people misunderstand meaning they confuse affection with physical attraction ,Positive
9.55E+17,b at_user we had to pay for affection in my house ,Positive
9.55E+17,b rt at_user it hurts to see students nowdays being pressured by everything i hope in future you all will cut some slack for your childr ,Positive
9.55E+17,b rt at_user the proper and mature way to fall in love time affection comfort trust and respect anything worth rushing isn x99t wort ,Positive
9.55E+17,b by working with our shadows in this way we love ourselves more instead of denying a part of our souls we may en url,Positive
9.55E+17,b rt at_user when your little pot head princess gotta hit a blunt before everything fucking thing she do like damn can i just get tha ,Positive
9.55E+17,b rt at_user at_user thanks hippie chick patriot you sound cool holy intuition described acknowledgement to him and affec ,Positive
9.55E+17,b whaddup my name is olivia and i need constant affection and attention or i fade into nothingness ,Positive
9.55E+17,b rt at_user nowdays n nin relationships n nbreakup patchup drama lasts much longer then love affection n n only_thaughts_not_going_throu ,Positive
9.55E+17,b her og acc love and peace i x99m such a softy i need love and affection n nher priv ah finally i can talk shit abt url,Positive
9.55E+17,b although the priority for me is my church i have a great affection for the mission halls of ulster their heyday url,Positive
9.55E+17,b at_user plot consists of me trying to get you to sleep while you escape to grind covfefe me slamming on your url,Positive
9.55E+17,b rt at_user how strange that blindfolded i traverse the labyrinth of your heart n nwhile my fingertips have yet to learn the topology of ,Positive
9.55E+17,b rt at_user it x99s disgusting when a man uses lesbian porn to get off on but as soon as he sees a lesbian couple showing affection in public ,Positive
9.55E+17,b i am hungry someone wanna come bring me food i can pay back in affection or money w e works for you ,Positive
9.55E+17,b here s a behindthescenes look at fleur s moodboard for our brand new collection affection if you d like to learn url,Positive
9.55E+17,b no it missing my mummy affection day can you see i want your love and affection mummy nis url,Positive
9.55E+17,b rt at_user neglect by successive govts on quality public education has resulted in the rise of unregistered edu centers amp seminaries ,Positive
9.55E+17,b rt at_user affection 2 url,Positive
9.55E+17,b i still got a lot of misplaced youthful affection for this godawful movie url,Positive
9.55E+17,b rt at_user true and honest public affection between married peers url,Positive
9.55E+17,b rt at_user aries woman needs lots of love and affection if you don t show her any she ll leave without looking back ,Positive
9.55E+17,b rt at_user and through it all she offers me protection na lot of love and affection n music lyrics goodartists at_user you ,Positive
9.55E+17,b rt at_user when your little pot head princess gotta hit a blunt before everything fucking thing she do like damn can i just get tha ,Positive
9.55E+17,b rt at_user the proper and mature way to fall in love time affection comfort trust and respect anything worth rushing isn x99t wort ,Positive
9.55E+17,b rt at_user when your little pot head princess gotta hit a blunt before everything fucking thing she do like damn can i just get tha ,Positive
9.55E+17,b rt at_user gently headbutts you in the shoulder to show affection ,Positive
9.55E+17,b rt at_user the proper and mature way to fall in love time affection comfort trust and respect anything worth rushing isn x99t wort ,Positive
9.55E+17,b you know if at_user had gotten this kind of affection from any major news network you x99d call it corrupt and c url,Positive
9.55E+17,b idrfk if my brother is really dead ass wasted or he s just trying to overly dramatize in front of his girlfriend so url,Positive
9.55E+17,b if youre unhappy in your relationship just break it off dont keep something going if youre literally considering s url,Positive
9.55E+17,b rt at_user me yelling for affection url,Positive
9.55E+17,b dude rolls his eyes scoffs and yells sarcastically oh very nice and shakes his head til i get to my stop then url,Positive
9.55E+17,b rt at_user at_user at_user at_user at_user not a mention of this subject once movie does well at bo will not be a sur ,Positive
9.55E+17,b rt at_user you ever feel so much affection for someone that you just wanna be with that person bc this is me rn ,Positive
9.55E+17,b rt at_user meinmychildhood nreceive gr8 luv n affection from family membrz ,Positive
9.55E+17,b how do dogs show affection to humans even those who have lived with dogs can sometimes misread canine language url,Positive
